subject,true_answer,model,ans_clean,clean_correct,ans_T1.2-Backspace-Mid2,correct_T1.2-Backspace-Mid2,dsr_T1.2-Backspace-Mid2,changed_T1.2-Backspace-Mid2,halluc_T1.2-Backspace-Mid2,ans_T1.2-ZWSP-Mid2,correct_T1.2-ZWSP-Mid2,dsr_T1.2-ZWSP-Mid2,changed_T1.2-ZWSP-Mid2,halluc_T1.2-ZWSP-Mid2,ans_T1.2-Backspace-High5,correct_T1.2-Backspace-High5,dsr_T1.2-Backspace-High5,changed_T1.2-Backspace-High5,halluc_T1.2-Backspace-High5,ans_T1.2-Backspace-Start,correct_T1.2-Backspace-Start,dsr_T1.2-Backspace-Start,changed_T1.2-Backspace-Start,halluc_T1.2-Backspace-Start,ans_T4.4-Standard-End5,correct_T4.4-Standard-End5,dsr_T4.4-Standard-End5,changed_T4.4-Standard-End5,halluc_T4.4-Standard-End5,ans_T4.4-High-End10,correct_T4.4-High-End10,dsr_T4.4-High-End10,changed_T4.4-High-End10,halluc_T4.4-High-End10,ans_T4.4-Mixed-End,correct_T4.4-Mixed-End,dsr_T4.4-Mixed-End,changed_T4.4-Mixed-End,halluc_T4.4-Mixed-End,ans_T4.4-Standard-Mid5,correct_T4.4-Standard-Mid5,dsr_T4.4-Standard-Mid5,changed_T4.4-Standard-Mid5,halluc_T4.4-Standard-Mid5,honey_detected_T3.2-SetB-SHY-5,honey_detected_T3.2-SetA-ESC-5,honey_detected_T3.2-SetB-SHY-High10,honey_detected_T3.2-Homoglyph
abstract_algebra,C,meta-llama/Llama-3.2-3B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,False,True,True,True
abstract_algebra,C,meta-llama/Llama-3.2-3B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,False,True,True,True
abstract_algebra,D,meta-llama/Llama-3.2-3B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
abstract_algebra,C,meta-llama/Llama-3.2-3B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
abstract_algebra,C,meta-llama/Llama-3.2-3B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,False,True
anatomy,A,meta-llama/Llama-3.2-3B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,C,False,True,True,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,True,True,True,True
anatomy,C,meta-llama/Llama-3.2-3B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,False,True,True,True
anatomy,C,meta-llama/Llama-3.2-3B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
anatomy,C,meta-llama/Llama-3.2-3B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
anatomy,B,meta-llama/Llama-3.2-3B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,True,True,True
astronomy,B,meta-llama/Llama-3.2-3B-Instruct,C,False,B,True,False,True,False,B,True,False,True,False,B,True,False,True,False,C,False,False,False,False,B,True,False,True,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
astronomy,A,meta-llama/Llama-3.2-3B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,D,False,True,True,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,D,False,True,True,False,False,True,True,True
astronomy,D,meta-llama/Llama-3.2-3B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,False,True
astronomy,A,meta-llama/Llama-3.2-3B-Instruct,A,True,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,A,True,False,False,False,True,True,True,True
astronomy,D,meta-llama/Llama-3.2-3B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,C,False,False,True,False,C,False,False,True,False,B,False,False,False,False,True,True,True,True
business_ethics,D,meta-llama/Llama-3.2-3B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
business_ethics,C,meta-llama/Llama-3.2-3B-Instruct,C,True,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,C,True,False,False,False,True,True,True,True
business_ethics,B,meta-llama/Llama-3.2-3B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
business_ethics,D,meta-llama/Llama-3.2-3B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
business_ethics,B,meta-llama/Llama-3.2-3B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
clinical_knowledge,D,meta-llama/Llama-3.2-3B-Instruct,C,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,C,False,False,False,False,True,True,True,True
clinical_knowledge,A,meta-llama/Llama-3.2-3B-Instruct,B,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,B,False,False,False,False,True,True,True,True
clinical_knowledge,D,meta-llama/Llama-3.2-3B-Instruct,C,False,B,False,False,True,False,C,False,False,False,False,C,False,False,False,False,B,False,False,True,False,C,False,False,False,False,C,False,False,False,False,B,False,False,True,False,C,False,False,False,False,False,True,True,True
clinical_knowledge,B,meta-llama/Llama-3.2-3B-Instruct,B,True,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,B,True,False,False,False,True,False,True,True
clinical_knowledge,D,meta-llama/Llama-3.2-3B-Instruct,D,True,D,True,False,False,False,D,True,False,False,False,B,False,True,True,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,D,True,False,False,False,True,True,True,True
college_biology,C,meta-llama/Llama-3.2-3B-Instruct,A,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,A,False,False,False,False,True,True,True,True
college_biology,A,meta-llama/Llama-3.2-3B-Instruct,C,False,C,False,False,False,False,D,False,False,True,False,C,False,False,False,False,C,False,False,False,False,B,False,False,True,False,B,False,False,True,False,A,True,False,True,False,C,False,False,False,False,True,True,True,True
