model,subject,true_answer,ans_clean,clean_correct,best_cloak,dsr_cloak_only,best_trap,dsr_trap_only,ans_stacked,dsr_stacked,changed_stacked
Llama-1B,abstract_algebra,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,abstract_algebra,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,abstract_algebra,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,abstract_algebra,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,abstract_algebra,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,anatomy,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,anatomy,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,anatomy,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,anatomy,C,C,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,anatomy,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,B,False,True
Llama-1B,astronomy,B,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,astronomy,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,astronomy,D,D,True,T1.2-Backspace-Mid2,True,T4.4-Mixed-End,False,A,True,True
Llama-1B,astronomy,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,astronomy,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,business_ethics,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,True,True
Llama-1B,business_ethics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,business_ethics,B,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,business_ethics,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,True,True
Llama-1B,business_ethics,B,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,C,False,False
Llama-1B,clinical_knowledge,D,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,clinical_knowledge,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,clinical_knowledge,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,clinical_knowledge,B,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,clinical_knowledge,D,C,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,college_biology,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_biology,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,college_biology,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,D,False,False
Llama-1B,college_biology,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,True,True
Llama-1B,college_biology,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_chemistry,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,college_chemistry,A,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,college_chemistry,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_chemistry,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_chemistry,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_computer_science,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_computer_science,C,D,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,True
Llama-1B,college_computer_science,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_computer_science,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_computer_science,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_mathematics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_mathematics,C,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_mathematics,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_mathematics,A,A,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
Llama-1B,college_mathematics,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,True,A,True,True
Llama-1B,college_medicine,D,D,True,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,True,True
Llama-1B,college_medicine,D,A,False,T1.2-Backspace-Mid2,False,T4.4-Mixed-End,False,A,False,False
